image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
17,0.9734888672828674,0.5151392221450806,0.8045064806938171,0.588850200176239,0.6799892783164978,0.9812482266504544,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
20,0.9700000286102296,0.6535352468490601,0.7835384607315063,0.7975258231163025,0.79047030210495,0.98826638758207,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
21,0.9757555723190308,0.6321024894714355,0.6796591877937317,0.9003362059593201,0.7745867967605591,0.9914506083557952,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
31,0.9782666563987732,0.4818542897701263,0.8555973768234253,0.5245097875595093,0.650339663028717,0.965468062138182,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
33,0.9823777675628662,0.642873227596283,0.7056351900100708,0.8784615397453308,0.7826206088066101,0.9937961161604966,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
34,0.9796555638313292,0.577038586139679,0.6343321204185486,0.8646590709686279,0.7318001985549927,0.9928523098480174,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
39,0.9647666811943054,0.2424749135971069,0.5718309879302979,0.2962638735771179,0.3903095424175262,0.9164304363775408,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
54,0.9835333228111268,0.5938613414764404,0.7516475915908813,0.7388339638710022,0.7451856732368469,0.992275589434711,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
59,0.970877766609192,0.528342604637146,0.8393367528915405,0.5877878069877625,0.6913928985595703,0.9821850990452836,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
64,0.975944459438324,0.6027522683143616,0.8734379410743713,0.6604342460632324,0.7521465420722961,0.9884385916591506,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
65,0.9737222194671632,0.5641356706619263,0.8156141638755798,0.6465990543365479,0.7213385105133057,0.9888109130213064,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
74,0.9686889052391052,0.6048240065574646,0.7553415298461914,0.7521799802780151,0.7537574172019958,0.9849075919428694,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
8,0.9637333154678344,0.3653509616851806,0.6656039953231812,0.4474875032901764,0.5351751446723938,0.9715648508807768,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
85,0.97234445810318,0.6290057897567749,0.8778864145278931,0.6893172264099121,0.7722572684288025,0.9901095346402324,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
9,0.9778444170951844,0.6265218257904053,0.8156546950340271,0.7298712730407715,0.770382285118103,0.989286722701777,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
90,0.9698666930198668,0.4490044713020324,0.8170055747032166,0.4992094039916992,0.6197420358657837,0.974448850925138,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
1,0.979466676712036,0.6158004403114319,0.7421698570251465,0.7833906412124634,0.7622233629226685,0.9841863212719664,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:14,14,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
101,0.9748111367225648,0.5271172523498535,0.7806611061096191,0.618756115436554,0.6903428435325623,0.9052844345972804,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:14,14,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
